kf_mgkg,time_ps,amplitude_au
75,0.0,-1.0418946185136766
75,0.1,0.03531873494441451
75,0.2,-4.988603806843893
75,0.30000000000000004,4.628293776492652
75,0.4,-3.7804972405640753
75,0.5,-1.2261420074431113
75,0.6000000000000001,2.3101395894298538
75,0.7000000000000001,-1.8860841306381226
75,0.8,-1.2441383318413013
75,0.9,-0.6988486244562855
75,1.0,3.1244720960130152
75,1.1,7.6476786374504115
75,1.2000000000000002,2.191400841334959
75,1.3,-0.5378778351094406
75,1.4000000000000001,3.7728726851030157
75,1.5,1.1019449776427794
75,1.6,2.7103806853632264
75,1.7000000000000002,5.8602377566144925
75,1.8,1.21617056928292
75,1.9000000000000001,3.2700308144394166
75,2.0,1.212245987427142
75,2.1,3.1748291569977725
75,2.2,4.364013742346037
75,2.3000000000000003,1.4055113600665377
75,2.4000000000000004,3.1833988221100604
75,2.5,3.5910377543137706
75,2.6,2.7363806311734202
75,2.7,1.5084118911053936
75,2.8000000000000003,1.069156988675136
75,2.9000000000000004,4.380982463012426
75,3.0,4.232292415247437
75,3.1,10.621192258885136
75,3.2,-0.9087437885514689
75,3.3000000000000003,5.5928851451846
75,3.4000000000000004,6.367503501530933
75,3.5,8.968166565700344
75,3.6,6.948719348188329
75,3.7,3.7057806720864352
75,3.8000000000000003,5.935762952879591
75,3.9000000000000004,7.408170815526532
75,4.0,5.382140538708232
75,4.1000000000000005,8.204077841828845
75,4.2,1.7139215987617078
75,4.3,10.816619835517336
75,4.4,10.259222748505413
75,4.5,5.849014482494546
75,4.6000000000000005,8.311502922442228
75,4.7,6.994737685225012
75,4.800000000000001,4.890305940644029
75,4.9,7.267382640980924
75,5.0,9.63057359686822
75,5.1000000000000005,6.25502875651454
75,5.2,6.343199247255333
75,5.300000000000001,7.167284126089502
75,5.4,8.50473115529444
75,5.5,10.680876088106757
75,5.6000000000000005,5.958544872758161
75,5.7,8.872897115307772
75,5.800000000000001,8.19518072279782
75,5.9,3.0576391226982995
75,6.0,6.7014295955644
75,6.1000000000000005,7.460698554208127
75,6.2,7.730624256450911
75,6.300000000000001,8.678798145247951
75,6.4,2.7934157254155645
75,6.5,8.036475290551664
75,6.6000000000000005,6.249427144602558
75,6.7,4.363953571182275
75,6.800000000000001,9.288373543847154
75,6.9,9.82705172139335
75,7.0,6.363080975363744
75,7.1000000000000005,10.105831204463664
75,7.2,7.045511457773925
75,7.300000000000001,8.161265840369367
